name,address,phone,website,rating,review_count,google_url,place_id,category,response_rate,unanswered_reviews,target_priority,email,email_found
All Smiles Family Dentistry,"7380 Bird Rd, Miami, FL 33155, États-Unis",+1 305-441-2773,allsmilesfamilydentistry1.com,4.9,49,https://www.google.com/maps/place/All+Smiles+Family+Dentistry/data=!4m7!3m6!1s0x88d9b8648a7ec115:0xebba4e938138687!8m2!3d25.732614!4d-80.314448!16s%2Fg%2F1tgdpc1m!19sChIJFcF-imS42YgRh4YTOOmkuw4?authuser=0&hl=fr&rclk=1,,Dentiste,0,49,high,info@allsmilesfamilydentistry.info,
Bushdid Smiles,"3005 Salzedo St, Coral Gables, FL 33134, États-Unis",+1 305-444-5926,bushdidsmiles.com,4.8,48,https://www.google.com/maps/place/Bushdid+Smiles/data=!4m7!3m6!1s0x88d9b79153b8d527:0xf293dabf7d85c356!8m2!3d25.744518!4d-80.260348!16s%2Fg%2F1tf24wyp!19sChIJJ9W4U5G32YgRVsOFfb_ak_I?authuser=0&hl=fr&rclk=1,,Dentiste,0,48,high,bushdidsmiles@gmail.com,
ONE Dental Miami,"1330 Coral Wy #100, Miami, FL 33145, États-Unis",+1 305-285-5150,onedentalmiami.com,4.8,48,https://www.google.com/maps/place/ONE+Dental+Miami/data=!4m7!3m6!1s0x88d9b65bbc36ea39:0xb1d41cbb8594799d!8m2!3d25.750765!4d-80.2170019!16s%2Fg%2F1td2hq9w!19sChIJOeo2vFu22YgRnXmUhbsc1LE?authuser=0&hl=fr&rclk=1,,Cabinet dentaire,0,48,high,info@onedentalmiami.com,
Community Smiles Dental Clinic,"G, 750 NW 20th St #110, Miami, FL 33127, États-Unis",+1 305-363-2222,csmiles.org,4.4,44,https://www.google.com/maps/place/Community+Smiles+Dental+Clinic/data=!4m7!3m6!1s0x88d9b6b7a4ae147d:0xf5cb0f8812aee3a2!8m2!3d25.7944355!4d-80.2074813!16s%2Fg%2F1tfv1c1v!19sChIJfRSupLe22YgRouOuEogPy_U?authuser=0&hl=fr&rclk=1,,Cabinet dentaire,0,44,high,,
Relax and Smile Dental Care,"271 NE 2nd St, Miami, FL 33132, États-Unis",+1 786-983-4812,relaxandsmile.com,4.9,49,https://www.google.com/maps/place/Relax+and+Smile+Dental+Care/data=!4m7!3m6!1s0x88d9b69ef54365f1:0x9d56ac0453fc14e!8m2!3d25.7763227!4d-80.1887702!16s%2Fg%2F1v8gcvld!19sChIJ8WVD9Z622YgRTsE_RcBq1Qk?authuser=0&hl=fr&rclk=1,,Cabinet dentaire,0,49,high,,
Amaya Dental,"815 NW 57th Ave #344, Miami, FL 33126, États-Unis",+1 305-264-2711,amayadental.com,4.9,49,https://www.google.com/maps/place/Amaya+Dental/data=!4m7!3m6!1s0x88d9b9db4cb08d91:0x525edfee1038b72f!8m2!3d25.779753!4d-80.2877412!16s%2Fg%2F11b631d7vf!19sChIJkY2wTNu52YgRL7c4EO7fXlI?authuser=0&hl=fr&rclk=1,,Dentiste,0,49,high,johndoe@aol.com,
Miami Bay Oral Health,"111 NW 8th St, Miami, FL 33136, États-Unis",+1 305-457-6294,miamibayoralhealth.com,4.8,48,https://www.google.com/maps/place/Miami+Bay+Oral+Health/data=!4m7!3m6!1s0x88d9b69df368a3bd:0x45df1efaa4161797!8m2!3d25.7819093!4d-80.1966355!16s%2Fg%2F11g6rxhj67!19sChIJvaNo85222YgRlxcWpPoe30U?authuser=0&hl=fr&rclk=1,,Cabinet dentaire,0,48,high,orlandooralhealth@gmail.com,
Bayfront Dental - Dr. Taylor Light,"224 SE 1st St, Miami, FL 33131, États-Unis",+1 305-530-1866,bayfrontdental.com,4.9,49,https://www.google.com/maps/place/Bayfront+Dental+-+Dr.+Taylor+Light/data=!4m7!3m6!1s0x88d9b69dc92efc5d:0xa82914eb8b459130!8m2!3d25.7733485!4d-80.1896807!16s%2Fg%2F11b6t1nq3b!19sChIJXfwuyZ222YgRMJFFi-sUKag?authuser=0&hl=fr&rclk=1,,Dentiste,0,49,high,,
Dentists in Brickell - HQ Dontics Dental Centre,"1060 Brickell Ave Suite 103/M2, Miami, FL 33131, États-Unis",+1 229-508-0551,hqdontics.com,4.9,49,https://www.google.com/maps/place/Dentists+in+Brickell+-+HQ+Dontics+Dental+Centre/data=!4m7!3m6!1s0x88d9b683e08f74d1:0x9ddd6313d4fea484!8m2!3d25.7631375!4d-80.1917891!16s%2Fg%2F1tlbpyyw!19sChIJ0XSP4IO22YgRhKT-1BNj3Z0?authuser=0&hl=fr&rclk=1,,Dentiste,0,49,high,,
Ultra Smile Miami,,,,4.8,48,https://www.google.com/maps/place/Ultra+Smile+Miami/data=!4m7!3m6!1s0x88d9b69c33e8f9cd:0x7f7cb0b51a9c61d4!8m2!3d25.7733032!4d-80.1905185!16s%2Fg%2F1pp2tkgqh!19sChIJzfnoM5y22YgR1GGcGrWwfH8?authuser=0&hl=fr&rclk=1,,Cabinet dentaire,0,48,high,,
Miami Sedation & Cosmetic Dentistry,"2461 Coral Wy, Miami, FL 33145, États-Unis",+1 305-912-0186,drramonbana.com,4.9,49,https://www.google.com/maps/place/Miami+Sedation+%26+Cosmetic+Dentistry/data=!4m7!3m6!1s0x88d9b7adae5143f7:0x9e6a7e6840661f3b!8m2!3d25.7506671!4d-80.2355426!16s%2Fg%2F1ty751md!19sChIJ90NRrq232YgROx9mQGh-ap4?authuser=0&hl=fr&rclk=1,,Dentiste cosmétique,0,49,high,,
Brickell Dental Care,"65 SE 9th St, Miami, FL 33131, États-Unis",+1 305-614-4423,downtownmiamidentalcare.com,4.6,46,https://www.google.com/maps/place/Brickell+Dental+Care/data=!4m7!3m6!1s0x88d9b7e9b530d8e5:0x58d2c00a94dd3312!8m2!3d25.7655623!4d-80.1925394!16s%2Fg%2F11fwhjjxhc!19sChIJ5dgwtem32YgREjPdlArA0lg?authuser=0&hl=fr&rclk=1,,Cabinet dentaire,0,46,high,,
